Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/CreatiVision/Manuals/Air-Sea Attack.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FAir-Sea%20Attack.pdf,496884,a235f896203bc97b44d6eff8471f1a83,,,Air-Sea Attack.pdf
docs/CreatiVision/Manuals/Astro Pinball.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FAstro%20Pinball.pdf,446429,a1f89ab0df8d42b479cd7986edcd63e6,,,Astro Pinball.pdf
docs/CreatiVision/Manuals/Auto Chase.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FAuto%20Chase.pdf,703625,2582664ca0dcfb4b1e248c4567e593ed,,,Auto Chase.pdf
docs/CreatiVision/Manuals/BASIC Interpreter 1.0.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FBASIC%20Interpreter%201.0.pdf,2665022,4d3c24cbff0d85bd78cecc502dbafb34,,,BASIC Interpreter 1.0.pdf
docs/CreatiVision/Manuals/Chopper Rescue.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FChopper%20Rescue.pdf,371266,a512d29936b4ea90f99dbf7a30431f4c,,,Chopper Rescue.pdf
docs/CreatiVision/Manuals/Crazy Chicky.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FCrazy%20Chicky.pdf,588732,e88fc9f29f1af21fe2f9c3b1949d824e,,,Crazy Chicky.pdf
docs/CreatiVision/Manuals/Crazy Pucker (Chewy).pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FCrazy%20Pucker%20%28Chewy%29.pdf,622508,e77b2cd6cd1802f84745621920875f58,,,Crazy Pucker (Chewy).pdf
docs/CreatiVision/Manuals/Deep Sea Adventure.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FDeep%20Sea%20Adventure.pdf,491823,e4c407ddc7d207eb2a45afcda4e80c24,,,Deep Sea Adventure.pdf
docs/CreatiVision/Manuals/Locomotive.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FLocomotive.pdf,411890,725fb16f995720e2b67dd7314eb2c1e6,,,Locomotive.pdf
docs/CreatiVision/Manuals/Mouse Puzzle.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FMouse%20Puzzle.pdf,380920,28a1aa70d4efe27710bc2d93462369cb,,,Mouse Puzzle.pdf
docs/CreatiVision/Manuals/Music Maker.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FMusic%20Maker.pdf,606287,81f7fe46de6967139f7635af22c80313,,,Music Maker.pdf
docs/CreatiVision/Manuals/Planet Defender.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FPlanet%20Defender.pdf,388430,630d76d3e230b089c081f969e78dbedf,,,Planet Defender.pdf
docs/CreatiVision/Manuals/Police Jump.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FPolice%20Jump.pdf,674669,9629e100ab8ac45002c4aec911228e89,,,Police Jump.pdf
docs/CreatiVision/Manuals/Soccer.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FSoccer.pdf,349635,5da1763b20cb51dbe353ceff292e0d9a,,,Soccer.pdf
docs/CreatiVision/Manuals/Sonic Invader.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FSonic%20Invader.pdf,485159,d94f7956254e50f0c513794f3cf2e6c1,,,Sonic Invader.pdf
docs/CreatiVision/Manuals/Tank Attack.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FTank%20Attack.pdf,599623,390943b6da6907f5a1e38a8881bb765d,,,Tank Attack.pdf
docs/CreatiVision/Manuals/Tennis.pdf,https://archive.org/download/mister-manuals/1981_VTech%20CreatiVision.zip/1981_VTech%20CreatiVision%2FTennis.pdf,657804,a71eb8b04e3a1020e42ced6267bf5eca,,,Tennis.pdf
